developer;developer_id
Black Sea Studios Ltd;273
1C:InoCo;274
BattleGoat Studios;275
Nitro Games;276
Cyberlore;277
Twisted Pixel Games;278
Paleo Entertainment;279
Number None;280
Kloonigames;281
Tale of Tales;282
49 Games;283
Zombie Studios;284
Mousechief;285
Red Rocket Games;286
Llamasoft LTD;287
DnS Development;288
KranX Productions;289
Erik Svedäng;290
Hemisphere Games;291
Elecorn;292
Digital Extremes;293
HeR Interactive;294
"Thinking Studios;Slam Dunk Studios";295
TrueThought;296
Black Jacket Studios;297
"BioWare;Aspyr (Mac)";298
"LucasArts;Aspyr Studios";299
"Traveller's Tales;Feral Interactive (Mac)";300
Petroglyph;301
Aspyr Studios;302
NovaLogic;303
Enlight Software Limited;304
Sigma Team Inc.;305
Brightside Games;306
Ubisoft Montpellier;307
"PopTop Software;BreakAway Games;Frog City Software";308
Revolution Software Ltd;309
Synetic;310
Ideas Pad;311
Kokakiki;312
"Akella;.dat";313
Zaratustra Productions;314
Bamtang;315
DTP;316
Gunnar Games, Inc.;317
Altar Games;318
Centauri Production;319
"CREATIVE ASSEMBLY;Feral Interactive (Mac)";320
Sumo Digital;321
Unicorn Games Studio;322
SaintXi;323
Wargaming.net;324
City Interactive S.A.;325
City Interactive;326
Invent4 Entertainment;327
Honeyslug;328
"Rocksteady Studios;Feral Interactive (Mac)";329
GFI Russia;330
Targem Games;331
Teotl Studios;332
Power of 2;333
Frima;334
Digital Eel;335
Sakari Indie;336
Sandlot Games;337
Cateia Games;338
3000AD;339
Ice-Pick Lodge;340
FromSoftware;341
Chaos Concept;342
Citeremis Inc.;343
Big Splash Games, LLC;344
Aliasworlds Entertainment;345
PlayFirst;346
Wadjet Eye Games;347
Sarbakan;348
Absolutist Ltd.;349
Size Five Games;350
Yullaby;351
Vectorpark;352
8monkey Labs;353
Gamerizon;354
iWin;355
Hip Soft;356
Alawar;357
Awem Studio;358
Spidermonk Entertainment;359
Enlight Software Limited, PerspectX;360
Interplay Inc.;361
Black Isle Studios;362
14° East;363
Shiny Entertainment;364
Subsoap;365
Two Tribes;366
"Virtual Heroes;Army Game Studio";367
Trion Worlds;368
Piranha Bytes;369
Phenomic;370
Homegrown Games;371
THQ Nordic;372
4 Head Studios;373
Cauldron;374
Rune Forge;375
Spellbound Studios;376
DiezelPower;377
ZoopTEK;378
Sabi Games;379
Stormregion;380
Animation Arts;381
Arcen Games, LLC;382
Makivision Games;383
Amanita Design;384
The Odd Gentlemen;385
FireFly Studios;386
Illusion Softworks;387
Croteam;388
Konstantin Koshutin;389
Nimbly Games;390
Dream Forge Entertainment, LLC;391
Runic Games;392
VIS Interactive;393
Oasis Games;394
Independent Programmist Group;395
Positech Games;396
Trinoteam;397
Fatshark;398
Dark Water Studios Ltd;399
Crystal Empire Games;400
BL-Logic;401
Kerberos Productions Inc.;402
Arrowhead Game Studios;403
Kerberos Productions;404
Blue Fang;405
KTX Software;406
New Star Games Ltd;407
"Codemasters Racing;Feral Interactive (Mac)";408
Codemasters Birmingham;409
Cadenza Interactive;410
Artery Games;411
Nemesys Games;412
Airtight Games;413
Other Ocean Interactive;414
Capcom Vancouver;415
Ludosity;416
SkyRiver Studios;417
Elite Games Team;418
X-Bow Software;419
SoftLab-NSK;420
"Headup Games;Clockstone";421
ClockStone Studios;422
Silent Dreams;423
Microids;424
"Octane Games;Meridian4";425
Headup Games / Crenetic;426
MC2;427
Dedication Games;428
Totem Games;429
Dagger Games;430
Icehole Games;431
Darkling Room;432
Muzzy Lane Software;433
Ntronium Games;434
Dust Devil Studios Inc.;435
Gogii;436
Gogiii;437
Visceral Games;438
Electronic Arts;439
Stainless Games;440
The Sims Studio;441
Playdead;442
Exkee;443
"Blue Byte;Related Designs";444
VStep;445
Vanguard Games;446
Stainless Games Ltd;447
"Gearbox Software;Aspyr (Mac);Aspyr (Linux)";448
Cold Beam Games;449
Muse Games;450
Beatnik Games;451
Noumenon Games;452
"2K Czech;Feral Interactive (Mac)";453
YAGER;454
doublesix;455
Big Fish Studios;456
Blendo Games;457
"Kaos Studios;Digital Extremes";458
"Double Helix Games;Rainbow Studios;THQ Nordic";459
Relic;460
Over the Top Games;461
Doctor Entertainment AB;462
Gaming Minds Studios;463
Mediatonic;464
"Coreplay GmbH;Bigmoon Studios";465
Stickmen Studios;466
Brawsome;467
Binary Takeover;468
Source Studio Ltd.;469
4sdk;470
YeaBoing;471
Cipher Prime Studios;472
Triumph Studios;473
Secret Exit Ltd.;474
Capybara Games;475
Firemint;476
Zoë Mode;477
Big Sandwich Games;478
bitComposer Games;479
Uber Entertainment;480
Ronimo Games;481
Cyan Worlds;482
Gaijin Games;483
Lunar Giant;484
Ino-Co;485
Digitalmindsoft;486
"Red Dot Games;PLAY";487
Giants Software;488
React Games;489
Streko Graphics;490
Mind Over Matter Studios;491
Eggtooth Team;492
"Trine Studios;G3 Community Patch Team;Mad Vulture Games";493
Trendy Entertainment;494
2K Marin;495
Dmytry Lavrov;496
800 North and Digital Ranch;497
exosyphen studios;498
I Sioux Game Productions B.V.;499
Terry Cavanagh;500
EasyGameStation;501
Grendel Games;502
Blind Mind Studios;503
StarWraith 3D Games LLC;504
SEGA;505
Devil's Details;506
Eyebrow Interactive;507
Tomkorp Computer Solutions Inc.;508
Clara Lehenaff;509
Colossal Order Ltd.;510
Martin Ivanov;511
Ageod;512
BlueGiant Interactive;513
Red Redemption;514
Ivy Games;515
Joshua Neurnberger;516
Relentless Software;517
Digital Reality;518
11 bit studios;519
"X1 Software;AWAR";520
Coffee Stain Studios;521
Streum On Studio;522
Bacon Wrapped Games;523
Steel Monkeys;524
Dark Energy Digital Ltd.;525
"Geoff 'Zag' Keene;Richard Keene";526
Platine Dispositif;527
Extend Studio;528
Copenhagen Game Collective;529
WXP Games, LLC;530
Black Lion Studios;531
Zachtronics;532
Actalogic;533
Puppygames;534
Stout Games;535
Final Form Games;536
Cockroach Inc.;537
Messhof;538
Straandlooper;539
SpikySnail;540
Alientrap;541
"Sparpweed;Codeglue";542
Peter Brinson and Kurosh ValaNejad;543
"Games Farm;3Division";544
Colibri Games;545
Paul Fisch;546
Kot in Action Creative Artel;547
IllFonic;548
Fire Hose Games;549
Murudai;550
TimeGate Studios;551
Krystian Majewski;552
Mode 7;553
Signal Studios;554
Flying Wild Hog;555
Game Distillery s.r.o.;556
Zeroscale;557
Gaslamp Games, Inc.;558
Bedlam Games;559
Killspace Entertainment;560
Dead Mage;561
Nicalis, Inc.;562
Grey Havens, LLC;563
Pilgway;564
Mystic Box;565
Michael Brough;566
"Big Huge Games;38 Studios";567
Robot Entertainment;568
Trapdoor Inc.;569
Cobra Mobile;570
Jason Rohrer;571
Big Fat Alien;572
Spiral Game Studios;573
Daedalic Entertainment;574
State of Play Games;575
Manic Game Studios;576
Ensemble Studios;577
Re-Logic;578
Secret Base;579
Q-Games Ltd.;580
Supergiant Games;581
MinMax Games Ltd.;582
Zeboyd Games;583
Squid In A Box Ltd;584
Little Green Men Games;585
Days of Wonder;586
Strange Loop Games;587
The Indie Stone;588
"Remedy Entertainment;Mountain Sheep;Cornfox & Brothers";589
Endlessfluff Games;590
Pixelante Game Studios;591
Hazardous Software Inc.;592
Digital Arrow;593
PomPom;594
PomPom Games;595
"Team Bondi;Rockstar Leeds";596
Total Eclipse;597
Total Eclipse P.C.;598
Owlchemy Labs;599
NGD Studios;600
Mommy's Best Games;601
Spiderweb Software;602
Pocketwatch Games;603
Edmund McMillen and Florian Himsl;604
Little Orbit;605
D-Pad Studio;606
Eclipse Games;607
Spectral Games;608
"Olde Sküül;Sculptured Software";609
"Playbrains;Fuel Entertainment";610
"Wild Shadow Studios;Deca Games";611
1C-Avalon;612
Zeal Game Studio;613
Unigine Corp.;614
Bit Planet Games, LLC;615
"Firaxis Games;Feral Interactive (Mac);Feral Interactive (Linux)";616
"Nicalis, Inc.;Studio Pixel";617
Dark Artz Entertainment;618
Desert Owl Games LLC;619
"Ironclad Games;Stardock Entertainment";620
"Vlambeer;Croteam";621
b-Alive;622
Team 6 Studios;623
Boss Baddie;624
Machine Games;625
Cyanide Montreal;626
Stardock Entertainment;627
BUGBEAR;628
TikGames;629
RC Knight;630
Longbow Games;631
Hassey Enterprises, Inc.;632
"Io-Interactive A/S;Feral Interactive (Mac)";633
"Crystal Dynamics;Eidos-Montréal;Feral Interactive (Mac);Feral Interactive (Linux)";634
1C-SoftClub;635
Lizsoft;636
Bootsnake Games;637
Ino-Co Plus;638
ASTRO PORT;639
Lionhead Studios;640
"Capybara;Superbrothers;Jim Guthrie";641
Rockstar Studios;642
Eden Industries;643
Retro Affect;644
"Ty Taylor and Mario Castañeda;The Quantum Astrophysicists Guild";645
The Behemoth;646
RichMakeGame;647
Rocket Bear Games;648
Cyanide Studio;649
Dancing Dots;650
Vblank Entertainment, Inc.;651
Biart;652
Golgoth Studio;653
Ubisoft - San Francisco;654
Arkedo;655
UL;656
Sakari Indie & GriN;657
